"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.757436548E-3,2.074808441E-2,1.841249317E-2,2.779553012E-2
1.007328100E-2,-2.605285496E-3,-2.676850650E-3,1.296859264E-4,3.737627638E-3
2.013338500E-2,4.477437760E-4,1.451651007E-2,9.317019023E-3,1.725503934E-2
3.020671800E-2,-3.977671440E-4,3.461533412E-2,2.112217806E-2,4.055275553E-2
4.028005200E-2,1.981529203E-4,3.804619238E-2,3.366430476E-2,5.080194321E-2
5.033588500E-2,-2.622684988E-4,1.177149173E-2,1.268303394E-2,1.730595713E-2
6.040927100E-2,-7.055179449E-4,4.005299881E-2,3.566155210E-2,5.363288886E-2
7.048260400E-2,-4.841659684E-4,6.544566900E-2,5.941527337E-2,8.839425726E-2
8.055208300E-2,-3.419452987E-4,9.575311095E-2,7.751768827E-2,1.231980811E-1
9.062541600E-2,-1.036065049E-3,1.167314649E-1,9.598296136E-2,1.511292069E-1
1.006987500E-1,-1.404203358E-3,1.159583405E-1,9.435191751E-2,1.495011466E-1
1.108207810E-1,1.247625612E-2,1.294706166E-1,6.723799556E-2,1.464214655E-1
1.208941140E-1,-1.435731910E-2,1.561293751E-1,2.706694789E-2,1.591073036E-1
1.309674480E-1,-1.456716284E-2,1.417500377E-1,-1.289460529E-2,1.430788114E-1
1.410183330E-1,-7.844283828E-4,4.965807125E-2,2.692562528E-2,5.649361614E-2
1.510916660E-1,2.779920585E-2,4.231335595E-2,4.949845746E-2,7.080475428E-2
1.611650000E-1,2.437887713E-2,4.131411389E-2,3.709724173E-2,6.064149570E-2
1.712251560E-1,3.832860291E-2,5.482306331E-2,2.361364663E-2,7.093838439E-2
1.812984890E-1,4.534531385E-2,2.594799176E-2,-1.626061974E-3,5.226987509E-2
1.913718230E-1,1.797923632E-2,3.980609775E-2,-1.916192705E-3,4.372013439E-2
2.014632290E-1,-8.523206227E-3,1.377663575E-2,2.384600043E-2,2.882832762E-2
2.115365620E-1,-9.058920667E-3,1.409253757E-2,2.346026525E-2,2.882789802E-2
2.216098960E-1,3.834420443E-2,4.465352371E-2,7.390435040E-2,9.447787149E-2
2.316841140E-1,5.101382360E-2,7.228244096E-2,5.981430784E-2,1.067937868E-1
2.417574480E-1,5.541801453E-2,5.709422752E-2,2.089772187E-2,8.226555737E-2
2.518307810E-1,5.525990203E-2,7.104377449E-2,2.049661241E-2,9.230918582E-2
2.618739580E-1,-1.074924693E-2,7.080186158E-2,4.802411050E-2,8.622508395E-2
2.719472390E-1,-5.124496296E-2,8.497587591E-2,3.372665495E-2,1.048066456E-1
2.820205730E-1,-4.471585155E-2,4.764793813E-2,8.388061076E-2,1.063286897E-1
2.921318230E-1,-2.782213734E-3,2.101743221E-2,5.589421839E-2,5.977990314E-2
3.022051560E-1,-1.837041928E-3,-5.854155868E-3,9.589276742E-4,6.210105173E-3
3.122784890E-1,-2.811619826E-2,2.158189937E-2,-9.462292492E-2,1.010435397E-1
3.223258330E-1,-2.431651205E-2,2.736123651E-2,-9.869098663E-2,1.052608230E-1
3.323992180E-1,-1.119388640E-2,4.165079817E-2,-4.164081998E-3,4.332933948E-2
3.424725000E-1,7.091354346E-4,5.952168256E-2,8.599756658E-2,1.045892682E-1
3.525614060E-1,3.902955353E-2,2.106481791E-2,1.375547945E-1,1.445280392E-1
3.626347390E-1,4.460015893E-2,4.747335985E-2,2.037606984E-1,2.139189480E-1
3.727080730E-1,1.527681109E-2,3.640932217E-2,2.279092968E-1,2.313042742E-1
3.827511460E-1,2.540814690E-2,1.006296277E-1,2.161415517E-1,2.397687767E-1
3.928244790E-1,1.249887049E-2,1.292286962E-1,2.144992799E-1,2.507313677E-1
4.028978120E-1,1.239453349E-2,1.435905844E-1,1.318810284E-1,1.953573291E-1
4.129997390E-1,-1.318319608E-2,1.295412779E-1,9.153041244E-2,1.591620424E-1
