"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.490849733E-1,-7.233332157E0,-2.952781200E0,7.858813918E0
5.036979000E-3,-9.712555408E-1,-7.463299274E0,-2.998295784E0,8.101478322E0
1.005197900E-2,-1.153313518E0,-7.693267345E0,-2.976736307E0,8.329312910E0
1.508895900E-2,-1.340162516E0,-8.026242256E0,-3.079742670E0,8.700656023E0
2.012593800E-2,-1.416818500E0,-8.407127380E0,-3.209099770E0,9.109637028E0
2.516291700E-2,-1.323393941E0,-8.811966896E0,-3.407926321E0,9.540235527E0
3.019989600E-2,-1.122171998E0,-9.137754440E0,-3.673826694E0,9.912357378E0
3.523687500E-2,-8.850175142E-1,-9.509057045E0,-3.860675812E0,1.030098246E1
4.024750000E-2,-6.574450135E-1,-9.877964020E0,-4.095434666E0,1.071349580E1
4.528447900E-2,-4.682004750E-1,-1.027561760E1,-4.215209961E0,1.111645284E1
5.032151100E-2,-1.543899924E-1,-1.060380077E1,-4.390081406E0,1.147768452E1
5.535843800E-2,3.654335439E-1,-1.091761112E1,-4.509856224E0,1.181806149E1
6.039546900E-2,4.468805492E-1,-1.115716076E1,-4.758988380E0,1.213795324E1
6.543239600E-2,7.391315103E-1,-1.129849529E1,-4.873972416E0,1.232712125E1
7.050088600E-2,9.331669807E-1,-1.134401035E1,-4.744615078E0,1.233161562E1
7.553786500E-2,1.052942038E0,-1.120986176E1,-4.660772800E0,1.218574949E1
8.057484400E-2,1.100852013E0,-1.092719364E1,-4.691914082E0,1.194275905E1
8.561182300E-2,9.882634878E-1,-1.063015079E1,-4.689518929E0,1.166054709E1
9.064880200E-2,7.678775191E-1,-1.030675888E1,-4.852412701E0,1.141774161E1
9.568578200E-2,6.073790193E-1,-1.020135689E1,-5.635741234E0,1.167039720E1
1.007743230E-1,6.960124969E-1,-1.045288467E1,-6.397510052E0,1.227498946E1
1.058113540E-1,9.858679771E-1,-1.114997482E1,-6.256175995E0,1.282316702E1
1.108483340E-1,1.357170463E0,-1.210098839E1,-5.779471397E0,1.347880266E1
1.158853130E-1,1.544019461E0,-1.325322342E1,-5.642927647E0,1.448704799E1
1.209222400E-1,1.242186546E0,-1.473124695E1,-6.026207924E0,1.596458098E1
1.259592190E-1,8.613020182E-1,-1.643923950E1,-6.766417027E0,1.779816945E1
1.309527610E-1,3.713023383E-3,-1.778790474E1,-5.860918045E0,1.872858588E1
1.359897400E-1,-2.070789814E0,-1.757949638E1,-2.605433702E0,1.789176202E1
1.410267190E-1,-5.199312687E0,-1.610386848E1,2.715617418E-1,1.692457321E1
1.460636980E-1,-7.788848400E0,-1.409643936E1,2.477817297E0,1.629464147E1
1.511006770E-1,-8.567386627E0,-1.148294926E1,4.937995911E0,1.515394473E1
1.561376570E-1,-7.719378948E0,-9.243156433E0,6.188446522E0,1.353963155E1
1.611903130E-1,-6.353943825E0,-7.487254620E0,5.836308479E0,1.142340057E1
1.662272400E-1,-5.338252068E0,-6.188893795E0,4.923622608E0,9.541561776E0
1.712642710E-1,-4.938203335E0,-5.127687454E0,3.582142830E0,7.969364972E0
1.763011980E-1,-5.292737484E0,-4.284471035E0,1.526803732E0,6.978602422E0
1.813382290E-1,-6.734828472E0,-3.582589865E0,-1.230416775E0,7.727016897E0
1.863752090E-1,-8.495521545E0,-3.184937000E0,-2.928826332E0,9.533925409E0
1.913764070E-1,-9.434556961E0,-3.273570299E0,-1.896365762E0,1.016480844E1
1.964133860E-1,-9.331550598E0,-3.702365160E0,5.686037540E-1,1.005527994E1
2.014503650E-1,-8.512290001E0,-4.528812408E0,2.693412304E0,1.001117839E1
2.064873440E-1,-7.597208500E0,-5.623555660E0,3.939072132E0,1.024003147E1
2.115243230E-1,-6.701291561E0,-6.773395538E0,4.657722473E0,1.060568594E1
2.165613020E-1,-6.102416515E0,-7.803460598E0,5.064957142E0,1.112597301E1
2.215939590E-1,-6.095230103E0,-8.826339722E0,5.012256145E0,1.183971345E1
2.266309380E-1,-6.564747810E0,-9.844427109E0,4.490037441E0,1.265579295E1
2.316679690E-1,-7.012706280E0,-1.091281986E1,3.706708670E0,1.349101093E1
2.367048960E-1,-7.194764614E0,-1.182790089E1,3.045550823E0,1.417530448E1
2.417418750E-1,-6.957609653E0,-1.249624538E1,2.317318678E0,1.448911476E1
2.467789070E-1,-6.224586964E0,-1.282682514E1,1.536385775E0,1.433992355E1
2.518219790E-1,-5.199312687E0,-1.293701744E1,6.811922193E-1,1.395934438E1
2.568589590E-1,-4.006353855E0,-1.279568291E1,-1.589824259E-2,1.340822975E1
2.618958860E-1,-2.830163479E0,-1.251780510E1,-6.794517636E-1,1.285172846E1
2.669329170E-1,-1.929455400E0,-1.215129375E1,-1.230416775E0,1.236489642E1
2.719698960E-1,-1.424005032E0,-1.166500759E1,-1.544227242E0,1.185262967E1
2.770068230E-1,-1.292252541E0,-1.116195202E1,-1.745449305E0,1.137126566E1
2.820613020E-1,-1.203619003E0,-1.068045712E1,-1.858037710E0,1.090748216E1
2.870983340E-1,-9.760464430E-1,-1.027561760E1,-1.817314267E0,1.048063046E1
2.921352610E-1,-6.598405242E-1,-9.861195564E0,-1.738262773E0,1.003494519E1
2.971722400E-1,-2.238594741E-1,-9.516243935E0,-1.592137218E0,9.651109398E0
3.022092710E-1,2.480540127E-1,-9.303044319E0,-1.417265773E0,9.413650018E0
3.072461980E-1,7.199674845E-1,-9.140150070E0,-1.220834732E0,9.249385597E0
3.122794790E-1,1.110434055E0,-9.006002426E0,-1.043567777E0,9.134012108E0
3.173165110E-1,1.328424454E0,-8.979651451E0,-7.513167858E-1,9.108420754E0
3.223534380E-1,1.397894025E0,-8.886227608E0,-6.051912308E-1,9.015841903E0
3.273904690E-1,1.515273452E0,-8.785615921E0,-5.668632388E-1,8.933332787E0
3.324274480E-1,1.520064473E0,-8.740101814E0,-5.692587495E-1,8.889546178E0
3.374644270E-1,1.496109486E0,-8.938928604E0,-8.088087440E-1,9.099283475E0
3.425052610E-1,2.123730659E0,-8.708960533E0,-6.267507672E-1,8.986047073E0
3.475422920E-1,2.490242243E0,-8.162786484E0,-5.021847486E-1,8.548951932E0
3.525792710E-1,1.625466466E0,-8.261001587E0,-5.644677281E-1,8.438300319E0
3.576162500E-1,6.457070112E-1,-8.478992462E0,-5.237442255E-1,8.519657196E0
3.626532290E-1,8.504021913E-3,-8.641885757E0,-8.782782555E-1,8.686405152E0
3.676902090E-1,-4.586184919E-1,-8.802384377E0,-9.381657839E-1,8.864110597E0
3.726815110E-1,-1.050307035E0,-9.013188362E0,-6.794517636E-1,9.099580431E0
3.777185420E-1,-1.665950537E0,-9.367722511E0,-2.458662391E-1,9.517881405E0
3.827555210E-1,-2.065998793E0,-9.765376091E0,3.074942231E-1,9.986264262E0
3.877924480E-1,-2.123490810E0,-1.014386463E1,6.476552486E-1,1.038396168E1
3.928294270E-1,-2.243265867E0,-1.038580990E1,6.237002611E-1,1.064360329E1
3.978664070E-1,-2.341481447E0,-1.057026386E1,4.967387319E-1,1.083788553E1
4.029530210E-1,-2.358249903E0,-1.067806149E1,2.140697688E-1,1.093746614E1
4.079900000E-1,-2.245661259E0,-1.055109978E1,-2.794032395E-1,1.079105033E1
4.130269790E-1,-2.099535942E0,-1.031634045E1,-8.088087440E-1,1.055884004E1
4.180639590E-1,-2.109117985E0,-1.021093845E1,-1.263953805E0,1.050281972E1
4.231009900E-1,-2.207333326E0,-1.002648544E1,-1.683166265E0,1.040364260E1
4.281379170E-1,-2.231288433E0,-9.923479080E0,-1.867619753E0,1.034128080E1
4.331276040E-1,-2.204937935E0,-9.786934853E0,-1.896365762E0,1.020989952E1
4.381645320E-1,-2.140259266E0,-9.597690582E0,-1.867619753E0,1.000921464E1
4.432015630E-1,-2.025275469E0,-9.432401657E0,-1.762217760E0,9.807005311E0
4.482384900E-1,-1.790516496E0,-9.343768120E0,-1.668793201E0,9.659028044E0
4.532755210E-1,-1.517429471E0,-9.271903038E0,-1.654420257E0,9.539805267E0
4.583125000E-1,-1.208410025E0,-9.190455437E0,-1.635256290E0,9.412692976E0
4.633766150E-1,-9.209499359E-1,-9.130568504E0,-1.525063276E0,9.302754860E0
4.684135940E-1,-6.071394682E-1,-9.056307793E0,-1.383728743E0,9.181505018E0
4.734505730E-1,-4.107084572E-1,-9.051516533E0,-1.156156182E0,9.134294176E0
4.784875520E-1,-2.765604556E-1,-9.025166512E0,-9.525387287E-1,9.079506940E0
4.835245320E-1,-2.765604556E-1,-9.046725273E0,-7.393392324E-1,9.081098301E0
4.885615110E-1,-2.693739533E-1,-9.065889359E0,-5.524902344E-1,9.086702243E0
4.935948440E-1,-2.573964596E-1,-9.142545700E0,-4.111557603E-1,9.155405173E0
4.986318230E-1,-3.891489804E-1,-9.212015152E0,-2.410752475E-1,9.223382100E0
5.036687500E-1,-5.520430207E-1,-9.271903038E0,-3.266674280E-2,9.288380083E0
5.087057820E-1,-5.664160252E-1,-9.501871109E0,1.038767546E-1,9.519305230E0
5.137427610E-1,-6.598405242E-1,-9.717465401E0,2.068832666E-1,9.742039007E0
5.187797400E-1,-9.377185106E-1,-9.818077087E0,3.865457177E-1,9.870327821E0
5.238357290E-1,-1.208410025E0,-9.818077087E0,5.853722692E-1,9.909467855E0
5.288727090E-1,-1.428796053E0,-9.784540176E0,7.626392245E-1,9.917676301E0
5.339096880E-1,-1.572525978E0,-9.712675095E0,9.183467627E-1,9.881915615E0
5.389466670E-1,-1.675532460E0,-9.602481842E0,1.141128302E0,9.814134723E0
5.439836460E-1,-1.788120985E0,-9.382095337E0,1.268089771E0,9.634788074E0
5.490206250E-1,-1.826449037E0,-9.185665131E0,1.404633284E0,9.470235194E0
5.540437500E-1,-1.831239939E0,-8.970069885E0,1.502848744E0,9.277615416E0
5.590807290E-1,-1.821658015E0,-8.838316917E0,1.620228291E0,9.168392638E0
5.641177090E-1,-1.855195045E0,-8.701773643E0,1.720839262E0,9.062223842E0
5.691546880E-1,-1.893523097E0,-8.591580391E0,1.730421185E0,8.966328168E0
5.741916670E-1,-1.941433072E0,-8.459828377E0,1.593877792E0,8.824868552E0
5.792286460E-1,-1.989343047E0,-8.364007950E0,1.634601235E0,8.751344808E0
5.842444790E-1,-2.020484447E0,-8.356822014E0,1.833427668E0,8.790920804E0
5.892814070E-1,-2.094744921E0,-8.320889473E0,2.183170795E0,8.853891383E0
5.943184380E-1,-2.087558270E0,-8.325679779E0,2.583219290E0,8.963697073E0
5.993554170E-1,-1.989343047E0,-8.402336121E0,3.052737236E0,9.158381007E0
6.043923960E-1,-1.965387940E0,-8.526902199E0,3.344988346E0,9.368017821E0
6.094293750E-1,-1.953410506E0,-8.632304192E0,3.488718271E0,9.513340288E0
6.144874480E-1,-2.025275469E0,-8.737706184E0,3.536628246E0,9.641420510E0
6.195244270E-1,-2.063603401E0,-8.893413544E0,3.366547823E0,9.730617026E0
6.245614070E-1,-2.185773849E0,-9.039539337E0,2.971290350E0,9.763167780E0
6.295983860E-1,-2.427719355E0,-9.319812775E0,2.607174158E0,9.977479066E0
6.346353650E-1,-2.703201771E0,-9.580922127E0,2.360437632E0,1.023098404E1
6.396723440E-1,-2.882864475E0,-9.739025116E0,2.120887756E0,1.037582202E1
6.447150000E-1,-3.050549269E0,-9.988157272E0,1.850196123E0,1.060624166E1
6.497519790E-1,-3.282912970E0,-1.020375252E1,1.787913203E0,1.086695526E1
6.547889590E-1,-3.524858475E0,-1.039060116E1,1.711257219E0,1.110484673E1
6.598259380E-1,-3.752430916E0,-1.063973331E1,1.610646248E0,1.139643998E1
6.648629170E-1,-4.128524303E0,-1.084335041E1,1.421401739E0,1.168945439E1
6.698998960E-1,-4.483058453E0,-1.110206509E1,1.181851745E0,1.203122753E1
6.749539070E-1,-4.729794979E0,-1.129610062E1,8.919962645E-1,1.227878280E1
6.799908860E-1,-4.919039249E0,-1.143024826E1,6.859832406E-1,1.246266807E1
6.850278650E-1,-5.031627655E0,-1.147097206E1,4.033142328E-1,1.253248336E1
6.900648440E-1,-5.041209698E0,-1.134640598E1,1.086677462E-1,1.241638162E1
6.951018230E-1,-4.942994595E0,-1.110206509E1,-1.500462443E-1,1.215366441E1
7.001388020E-1,-4.758541107E0,-1.083856010E1,-2.841942608E-1,1.184056016E1
7.051333340E-1,-4.521386147E0,-1.049600315E1,-5.309307575E-1,1.144075619E1
7.101702610E-1,-4.219553471E0,-1.019417000E1,-7.273617387E-1,1.105688874E1
7.152072400E-1,-3.932093143E0,-9.911500931E0,-9.669117332E-1,1.070673272E1
7.202442190E-1,-3.666192770E0,-9.710279465E0,-1.220834732E0,1.045088198E1
7.252811980E-1,-3.285308361E0,-9.566549301E0,-1.596928239E0,1.024022931E1
7.303182290E-1,-2.818185806E0,-9.554572105E0,-2.056864262E0,1.017166210E1
7.353768230E-1,-2.171400785E0,-9.631227493E0,-2.753954649E0,1.024986783E1
7.404138020E-1,-1.493474483E0,-9.796517372E0,-3.510932684E0,1.051327099E1
7.454507820E-1,-9.449050426E-1,-1.008158207E1,-3.697781801E0,1.077982991E1
7.504877610E-1,-5.185059905E-1,-1.040018368E1,-3.597170830E0,1.101691005E1
7.555247400E-1,-3.077019751E-1,-1.068045712E1,-3.062974215E0,1.111524429E1
7.605617190E-1,-3.005154729E-1,-1.092000675E1,-2.425771236E0,1.119022891E1
7.656021880E-1,-3.627984524E-1,-1.104217720E1,-1.776590705E0,1.119006589E1
7.706391670E-1,-3.412389755E-1,-1.105175877E1,-1.136992216E0,1.111533028E1
7.756761460E-1,-1.472034901E-1,-1.093198395E1,-6.435192227E-1,1.095189750E1
7.807131250E-1,1.234880239E-1,-1.074273968E1,-1.692102402E-1,1.074478186E1
7.857501040E-1,1.402565241E-1,-1.078106785E1,1.973012537E-1,1.078378522E1
7.907870840E-1,-1.424124688E-1,-1.123142147E1,4.847612381E-1,1.124278004E1
7.957973440E-1,-5.280879736E-1,-1.204828739E1,8.991827965E-1,1.209333021E1
8.008343230E-1,-7.293099761E-1,-1.275496006E1,1.251321197E0,1.283692735E1
8.058713020E-1,-8.466895223E-1,-1.298492813E1,1.706466198E0,1.312391971E1
8.109082820E-1,-3.196794689E-1,-1.298971844E1,2.027463198E0,1.315087781E1
8.159452610E-1,4.516715407E-1,-1.269507217E1,2.238267183E0,1.289878695E1
8.209822400E-1,1.036173582E0,-1.228544140E1,2.535309315E0,1.258703775E1
8.260084900E-1,1.476945519E0,-1.189737034E1,2.937753201E0,1.234338620E1
8.310454170E-1,1.824293017E0,-1.149253082E1,3.067110300E0,1.203384707E1
8.360824480E-1,2.001559973E0,-1.126016808E1,2.813187361E0,1.177759103E1
8.411193750E-1,1.817106485E0,-1.106852818E1,2.391579151E0,1.146882046E1
8.461564070E-1,1.582347512E0,-1.089365578E1,1.972366810E0,1.118328175E1
8.511933340E-1,1.481736541E0,-1.064212894E1,1.167478800E0,1.080802750E1
8.562383340E-1,1.278118968E0,-1.038820553E1,-1.692102402E-1,1.046790496E1
8.612753130E-1,9.571220279E-1,-1.026843071E1,-2.495240688E0,1.061051261E1
8.663122920E-1,7.055944800E-1,-1.024687099E1,-5.417750835E0,1.161241805E1
8.713492710E-1,3.342920244E-1,-1.024447536E1,-7.832414627E0,1.289991262E1
8.763862500E-1,9.234652668E-2,-1.006481361E1,-9.240968704E0,1.366398564E1
8.814232290E-1,1.450475305E-1,-9.645600319E0,-9.214617729E0,1.334045817E1
8.864884380E-1,2.480540127E-1,-9.149732590E0,-8.522317886E0,1.250635996E1
8.915254170E-1,2.887775302E-1,-8.692192078E0,-7.559327602E0,1.152306510E1
8.965623960E-1,6.839152426E-2,-8.342449188E0,-6.608314037E0,1.064288261E1
9.015993230E-1,-4.466409385E-1,-8.114875793E0,-5.796239853E0,9.982339090E0
9.066363540E-1,-8.442940116E-1,-8.038220406E0,-5.151850224E0,9.584747278E0
9.116733340E-1,-1.483892441E0,-8.208300591E0,-4.677541256E0,9.563342907E0
9.167078650E-1,-2.420532942E0,-8.625117302E0,-4.083456993E0,9.845112961E0
9.217448440E-1,-3.199070454E0,-9.324604034E0,-3.427090168E0,1.043682132E1
9.267818230E-1,-3.762012959E0,-1.021812534E1,-2.447330713E0,1.116029814E1
9.318187500E-1,-4.415984154E0,-1.113320637E1,-1.192088723E0,1.203620686E1
9.368557820E-1,-5.252013683E0,-1.204349613E1,4.224782586E-1,1.314564318E1
9.418927090E-1,-5.992223263E0,-1.279568291E1,2.001112700E0,1.427027304E1
9.469644270E-1,-6.516838074E0,-1.326041031E1,3.282705307E0,1.513551500E1
9.520014070E-1,-7.036661148E0,-1.358380318E1,4.322352409E0,1.589707644E1
9.570383340E-1,-7.716983318E0,-1.402696991E1,5.141613007E0,1.681499036E1
9.620753650E-1,-8.265553474E0,-1.442941380E1,5.548848152E0,1.753046128E1
9.671122920E-1,-8.768608093E0,-1.461865902E1,5.663832188E0,1.796309201E1
9.721493230E-1,-8.854846001E0,-1.462105465E1,5.536870956E0,1.796776215E1
9.771679690E-1,-8.497917175E0,-1.441743660E1,5.323671341E0,1.756184930E1
9.822049480E-1,-8.083495140E0,-1.385209846E1,5.096098900E0,1.682836146E1
9.872419270E-1,-7.891854763E0,-1.326280594E1,4.856548786E0,1.617929106E1
9.922789070E-1,-7.798430443E0,-1.275016880E1,4.743960381E0,1.568079979E1
9.973158860E-1,-7.836758614E0,-1.216087532E1,4.557111263E0,1.516802351E1
1.002352917E0,-7.793639183E0,-1.149971771E1,4.334329605E0,1.455234456E1
1.007364948E0,-7.606790543E0,-1.087209702E1,4.037287712E0,1.386958716E1
1.012401875E0,-7.245069981E0,-1.032831860E1,3.788155794E0,1.317252172E1
1.017438854E0,-6.591098309E0,-9.904314995E0,3.155743837E0,1.230840167E1
1.022475782E0,-5.613734245E0,-9.753397942E0,2.025067806E0,1.143432041E1
1.027512709E0,-4.351305962E0,-9.657578468E0,7.794077396E-1,1.062121282E1
1.032549688E0,-3.280517340E0,-9.604877472E0,-4.997892678E-1,1.016195132E1
1.037577865E0,-2.494793415E0,-9.688719749E0,-1.702330232E0,1.014855718E1
