"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.857710183E-1,1.040845439E-1,9.822421074E0,9.824729015E0
4.970416000E-3,1.881665289E-1,1.064800546E-1,9.935009003E0,9.937361246E0
1.000750000E-2,2.001440227E-1,9.210705012E-2,9.884703636E0,9.887158708E0
1.504458300E-2,2.240990251E-1,1.352260560E-1,9.896680832E0,9.900141309E0
2.008166600E-2,2.288900167E-1,1.783450693E-1,9.935009003E0,9.939245519E0
2.511880200E-2,2.264945209E-1,1.040845439E-1,9.894286156E0,9.897425518E0
3.015588500E-2,2.049350291E-1,1.184575483E-1,9.911054611E0,9.913880878E0
3.521661400E-2,2.288900167E-1,1.304350346E-1,9.915844917E0,9.919343948E0
4.025369800E-2,2.217035294E-1,1.208530590E-1,9.896680832E0,9.899901485E0
4.529083300E-2,2.049350291E-1,9.450256079E-2,9.939800262E0,9.942361810E0
5.032791600E-2,2.264945209E-1,1.016890332E-1,9.923031807E0,9.926137248E0
5.536500000E-2,2.193080187E-1,7.773404568E-2,9.925427437E0,9.928154330E0
6.040208300E-2,1.833755225E-1,7.054757327E-2,9.860748291E0,9.862705532E0
6.547682300E-2,2.001440227E-1,6.575655192E-2,9.894286156E0,9.896528689E0
7.051390600E-2,2.264945209E-1,2.024208568E-2,9.927823067E0,9.930426998E0
7.555098900E-2,2.097260207E-1,3.473570105E-3,9.899076462E0,9.901298494E0
8.058807300E-2,2.025395185E-1,2.263753675E-2,9.875122070E0,9.877224844E0
8.562515600E-2,2.025395185E-1,2.982406877E-2,9.920636177E0,9.922748303E0
9.066229100E-2,2.097260207E-1,3.221957758E-2,9.879912376E0,9.882190631E0
9.567364500E-2,2.217035294E-1,4.180156067E-2,9.915844917E0,9.918411176E0
1.007107810E-1,2.073305249E-1,3.221957758E-2,9.872726440E0,9.874955768E0
1.057478640E-1,2.288900167E-1,7.533853501E-2,9.896680832E0,9.899614034E0
1.107849480E-1,1.857710183E-1,7.533853501E-2,9.915844917E0,9.917871102E0
1.158220830E-1,2.049350291E-1,8.731608838E-2,9.935009003E0,9.937506043E0
1.208591660E-1,2.288900167E-1,9.689807147E-2,9.906263351E0,9.909381084E0
1.258815100E-1,2.025395185E-1,8.731608838E-2,9.915844917E0,9.918297575E0
1.309185930E-1,2.217035294E-1,1.256440729E-1,9.935009003E0,9.938276650E0
1.359557290E-1,2.073305249E-1,1.519945711E-1,9.911054611E0,9.914388120E0
1.409928120E-1,2.193080187E-1,9.210705012E-2,9.958964348E0,9.961804585E0
