"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.730034828E0,6.710873604E0,4.116339207E0,9.184405395E0
5.036614000E-3,4.873764515E0,6.763574600E0,3.895953178E0,9.202063523E0
1.010223900E-2,4.993539810E0,6.744410515E0,3.735454798E0,9.185648348E0
1.513885400E-2,5.132478714E0,6.677336693E0,3.630052805E0,9.170956680E0
2.017546900E-2,5.261835575E0,6.547979832E0,3.536628246E0,9.114312527E0
2.521203100E-2,5.441498280E0,6.444973469E0,3.510277748E0,9.136171868E0
3.024864600E-2,5.700212002E0,6.344362259E0,3.570165157E0,9.246049350E0
3.528526000E-2,5.934971333E0,6.212609768E0,3.613284349E0,9.320741850E0
4.025588500E-2,6.148170471E0,6.114394188E0,3.627657175E0,9.399240023E0
4.529244800E-2,6.366161346E0,6.023365021E0,3.725872755E0,9.523185615E0
5.032906200E-2,6.564987659E0,5.970664024E0,3.836065769E0,9.667641514E0
5.536567700E-2,6.672785282E0,5.913172245E0,3.948654175E0,9.751078874E0
6.040223900E-2,6.821306229E0,5.814956665E0,4.032496929E0,9.828782792E0
6.543890600E-2,6.993782043E0,5.771837711E0,4.097175121E0,9.950574949E0
7.048750000E-2,7.204586029E0,5.711950302E0,4.161853790E0,1.009224767E1
7.552411400E-2,7.415390015E0,5.589779854E0,4.166644573E0,1.017814202E1
8.056067700E-2,7.619007587E0,5.498750687E0,4.166644573E0,1.027844651E1
8.559734400E-2,7.765132904E0,5.491564274E0,4.183413029E0,1.039016418E1
9.063390600E-2,7.860953331E0,5.470004559E0,4.140294075E0,1.043348322E1
9.567052100E-2,7.904072285E0,5.407721519E0,4.058847427E0,1.040154090E1
1.006926040E-1,7.954377651E0,5.340647697E0,4.018123627E0,1.038941573E1
1.057292710E-1,7.983123779E0,5.266387463E0,3.953445435E0,1.034866334E1
1.107658330E-1,8.124457359E0,5.213686466E0,3.912721634E0,1.041627210E1
1.158024480E-1,8.256210327E0,5.201708794E0,3.728268147E0,1.044618431E1
1.208390100E-1,8.373589516E0,5.208895206E0,3.613284349E0,1.050263845E1
1.258756770E-1,8.476595879E0,5.228059292E0,3.565374136E0,1.057814607E1
1.309319270E-1,8.593976021E0,5.223268032E0,3.584538221E0,1.067651006E1
1.359685420E-1,8.625117302E0,5.249618530E0,3.601306677E0,1.072010042E1
1.410051040E-1,8.596370697E0,5.280760288E0,3.574956179E0,1.070347280E1
1.460417710E-1,8.524506569E0,5.290342331E0,3.515068769E0,1.063064639E1
1.510783330E-1,8.493364334E0,5.292737961E0,3.447994709E0,1.058484673E1
1.561149480E-1,8.534088135E0,5.316692829E0,3.383316278E0,1.060870925E1
1.611436460E-1,8.560439110E0,5.285551071E0,3.323428631E0,1.059543986E1
1.661802600E-1,8.546065331E0,5.287946701E0,3.378525257E0,1.060245471E1
1.712168230E-1,8.534088135E0,5.208895206E0,3.392898321E0,1.055817260E1
1.762534370E-1,8.541275024E0,5.139425755E0,3.364152193E0,1.052067470E1
1.812900520E-1,8.574811935E0,5.153798580E0,3.366547823E0,1.055569438E1
1.863266140E-1,8.625117302E0,5.149007797E0,3.294682741E0,1.057165380E1
1.913634370E-1,8.682609558E0,5.144216537E0,3.208444834E0,1.058984376E1
1.964000520E-1,8.730519295E0,5.125052929E0,3.100647211E0,1.058783017E1
2.014366670E-1,8.797593117E0,5.034023762E0,3.019200325E0,1.057613400E1
2.064732810E-1,8.838316917E0,4.923830986E0,3.004827261E0,1.055409609E1
2.115098440E-1,8.864666939E0,4.883107185E0,2.983267784E0,1.055115834E1
2.165464580E-1,8.883831024E0,4.777705193E0,3.000036240E0,1.052374164E1
2.215805210E-1,8.871853828E0,4.811242104E0,2.978476763E0,1.052279263E1
2.266171870E-1,8.912576675E0,4.823219776E0,2.870679140E0,1.053272380E1
2.316537500E-1,8.831130028E0,4.830406189E0,2.791627645E0,1.044580616E1
2.366903640E-1,8.711355209E0,4.854361057E0,2.683830261E0,1.032741380E1
2.417269270E-1,8.572416306E0,4.897480011E0,2.532913685E0,1.019251115E1
2.467635940E-1,8.469409943E0,4.902271271E0,2.410743237E0,1.007843496E1
2.517775520E-1,8.428686142E0,4.875920773E0,2.298154831E0,1.000494223E1
2.568142190E-1,8.419104576E0,4.808846951E0,2.190357208E0,9.940019897E0
2.618507810E-1,8.402336121E0,4.823219776E0,2.152029276E0,9.924410879E0
2.668873960E-1,8.416708946E0,4.746563435E0,2.185566187E0,9.906944710E0
2.719239580E-1,8.450245857E0,4.763332367E0,2.178379774E0,9.941897642E0
2.769606250E-1,8.467014313E0,4.775309563E0,2.192752838E0,9.965042790E0
2.820314060E-1,8.538879395E0,4.760936737E0,2.240662813E0,1.002993269E1
2.870680210E-1,8.572416306E0,4.744168282E0,2.240662813E0,1.005057331E1
2.921045830E-1,8.622721672E0,4.734586239E0,2.211916685E0,1.008266886E1
2.971412500E-1,8.613140106E0,4.679489613E0,2.219103336E0,1.005028483E1
3.021778120E-1,8.620326042E0,4.672303200E0,2.204730272E0,1.004993900E1
3.072144270E-1,8.613140106E0,4.677093983E0,2.187961817E0,1.004233875E1
3.122583330E-1,8.596370697E0,4.662721157E0,2.135260820E0,1.000988994E1
3.172949480E-1,8.548460960E0,4.645952702E0,2.061000347E0,9.945289525E0
3.223315100E-1,8.526901245E0,4.672303200E0,1.941225290E0,9.914979458E0
3.273681250E-1,8.560439110E0,4.681885242E0,1.840614319E0,9.929200786E0
3.324047390E-1,8.505342484E0,4.612415791E0,1.828636646E0,9.846783341E0
3.374413540E-1,8.512528419E0,4.593251705E0,1.869360209E0,9.851680512E0
3.424786980E-1,8.507738113E0,4.655534744E0,1.962784767E0,9.894853996E0
3.475153120E-1,8.538879395E0,4.722608566E0,2.106514692E0,9.982629770E0
3.525518750E-1,8.562833786E0,4.725004196E0,2.195148230E0,1.002329601E1
3.575885420E-1,8.567625046E0,4.792078018E0,2.187961817E0,1.005760347E1
3.626251040E-1,8.570020676E0,4.832801819E0,2.259826660E0,1.009495143E1
3.676617190E-1,8.581997871E0,4.866338730E0,2.247849226E0,1.011853578E1
3.726658330E-1,8.593976021E0,4.856756687E0,2.221498728E0,1.011827880E1
3.777025000E-1,8.615534782E0,4.851965904E0,2.171193361E0,1.012339337E1
3.827390620E-1,8.637094498E0,4.823219776E0,2.068186760E0,1.010644581E1
3.877756770E-1,8.562833786E0,4.772913933E0,1.936434269E0,9.992627659E0
3.928122390E-1,8.474200249E0,4.715422153E0,1.766353726E0,9.857346571E0
3.978489060E-1,8.390357971E0,4.662721157E0,1.663347244E0,9.741960764E0
4.029139580E-1,8.308911324E0,4.653139114E0,1.574713707E0,9.652431521E0
4.079505730E-1,8.253814697E0,4.720212936E0,1.481289268E0,9.622893802E0
4.129871870E-1,8.239441872E0,4.770518780E0,1.457334280E0,9.631722327E0
4.180238020E-1,8.203509331E0,4.744168282E0,1.411819696E0,9.581123780E0
4.230603640E-1,8.227463722E0,4.828010559E0,1.347141266E0,9.634087131E0
4.280969790E-1,8.263396263E0,4.825615406E0,1.330372691E0,9.661271829E0
4.331307810E-1,8.311306953E0,4.818428516E0,1.366305232E0,9.703703758E0
4.381673960E-1,8.332865715E0,4.804055691E0,1.433379292E0,9.724719960E0
4.432040100E-1,8.354425430E0,4.861547947E0,1.526803732E0,9.785816386E0
4.482405730E-1,8.411917686E0,4.907062054E0,1.610646248E0,9.870856016E0
4.532771870E-1,8.500551224E0,4.995695591E0,1.694488764E0,1.000438093E1
4.583138020E-1,8.644281387E0,5.096306801E0,1.783122301E0,1.019193156E1
4.633499480E-1,8.680213928E0,5.175358295E0,1.811868191E0,1.026709860E1
4.683865620E-1,8.673027039E0,5.182544708E0,1.790308714E0,1.026086609E1
4.734231250E-1,8.673027039E0,5.225663662E0,1.761562705E0,1.027774595E1
4.784597920E-1,8.627512932E0,5.223268032E0,1.730421185E0,1.023283274E1
4.834963540E-1,8.615534782E0,5.192126751E0,1.809472799E0,1.022055828E1
4.885329690E-1,8.579602242E0,5.223268032E0,1.775935769E0,1.020029663E1
4.935595310E-1,8.447850227E0,5.259200573E0,1.780726790E0,1.010922114E1
4.985961460E-1,8.387962341E0,5.225663662E0,1.816659212E0,1.004817016E1
5.036327600E-1,8.323284149E0,5.175358295E0,1.799890757E0,9.964988673E0
5.086693750E-1,8.299328804E0,5.172962666E0,1.754376292E0,9.935604537E0
5.137059370E-1,8.328075409E0,5.201708794E0,1.747189760E0,9.973328755E0
5.187425520E-1,8.301724434E0,5.220872879E0,1.747189760E0,9.961366084E0
5.238020830E-1,8.270583153E0,5.220872879E0,1.725630283E0,9.931659437E0
5.288387500E-1,8.284955978E0,5.252014160E0,1.692093253E0,9.954261795E0
5.338753120E-1,8.308911324E0,5.213686466E0,1.713652730E0,9.957767804E0
5.389119270E-1,8.275374413E0,5.225663662E0,1.641787767E0,9.923953318E0
5.439485420E-1,8.241837502E0,5.232850075E0,1.581900239E0,9.890046192E0
5.489851560E-1,8.280164719E0,5.220872879E0,1.605855227E0,9.919546985E0
5.539827600E-1,8.280164719E0,5.206499577E0,1.490871191E0,9.894011447E0
5.590193750E-1,8.282560349E0,5.247223377E0,1.371096253E0,9.900205252E0
5.640559890E-1,8.335261345E0,5.268782616E0,1.315999746E0,9.948291676E0
5.690925520E-1,8.373589516E0,5.343043327E0,1.265694261E0,1.001334586E1
5.741291670E-1,8.347239494E0,5.350229740E0,1.313604236E0,1.000134599E1
5.791657810E-1,8.272978783E0,5.292737961E0,1.423797250E0,9.923832509E0
5.842039060E-1,8.213090897E0,5.278364658E0,1.536385775E0,9.883141039E0
5.892405210E-1,8.160389900E0,5.278364658E0,1.603459716E0,9.850085271E0
5.942770830E-1,8.078943253E0,5.263991833E0,1.684906721E0,9.788658986E0
5.993136980E-1,8.016660690E0,5.299924374E0,1.629810214E0,9.747426754E0
6.043502600E-1,7.980728149E0,5.263991833E0,1.610646248E0,9.695143792E0
6.093869270E-1,7.894490242E0,5.213686466E0,1.579504728E0,9.591680663E0
6.144660420E-1,7.841789246E0,5.168171883E0,1.574713707E0,9.522782285E0
6.195026560E-1,7.750760078E0,5.141821384E0,1.550758719E0,9.429605588E0
6.245392190E-1,7.700454712E0,5.079538345E0,1.483684778E0,9.343448672E0
6.295758850E-1,7.674104214E0,5.022046089E0,1.421401739E0,9.280797666E0
6.346124480E-1,7.736387253E0,4.954972267E0,1.296835780E0,9.278212163E0
6.396490620E-1,7.834602833E0,4.883107185E0,1.162687778E0,9.304707422E0
6.446482810E-1,7.916049480E0,4.842383862E0,1.126755238E0,9.347839227E0
6.496849480E-1,8.040615082E0,4.782496452E0,9.878162146E-1,9.407419629E0
6.547215100E-1,8.124457359E0,4.722608566E0,9.111602306E-1,9.441400956E0
6.597581250E-1,8.141225815E0,4.672303200E0,8.728322983E-1,9.427184690E0
6.647947390E-1,8.191531181E0,4.665116787E0,8.536682129E-1,9.465370946E0
6.698313540E-1,8.232254982E0,4.655534744E0,7.746167183E-1,9.489154699E0
6.748882810E-1,8.263396263E0,4.624392986E0,7.386842370E-1,9.498125220E0
